Chr_ann1,Start_ann1,End_ann1,Chr_ann2,Start_ann2,End_ann2,ChIN,Annotation1,Annotation2
Chr01,49809,56443,Chr01,77017,90226,9,ZS01g0011200,ZS01g0011700
Chr01,77017,90226,Chr01,91202,96524,25,ZS01g0011700,ZS01g0012300
Chr01,77017,90226,Chr01,139055,150968,4,ZS01g0011700,ZS01g0013300
Chr01,1758219,1759489,Chr01,17020232,17075103,4,ZS01g0040300,ZS01g0372400
Chr01,2358797,2375311,Chr01,2390516,2405181,9,ZS01g0051000,ZS01g0051500
Chr01,7060887,7074556,Chr01,15173788,15190240,6,ZS01g0129900,ZS01g0318900
Chr01,7231505,7241054,Chr01,7241678,7257857,4,ZS01g0132400,ZS01g0132600
Chr01,7307300,7330934,Chr01,7767906,7779737,6,ZS01g0143600,ZS01g0152000
Chr01,7307300,7330934,Chr01,14140375,14168535,6,ZS01g0143600,ZS01g0292100
Chr01,8221624,8231814,Chr01,11369908,11408403,4,ZS01g0169900,ZS01g0238900
Chr01,8490266,8502389,Chr01,8512232,8515480,28,ZS01g0174500,ZS01g0175000
Chr01,8490266,8502389,Chr01,8589732,8596142,10,ZS01g0174500,ZS01g0176400
Chr01,8589732,8596142,Chr01,8674829,8684437,4,ZS01g0176400,ZS01g0177500
Chr01,9410981,9425408,Chr01,17819070,17829952,4,ZS01g0188300,ZS01g0385400
Chr01,9915662,9919224,Chr01,17534727,17599315,4,ZS01g0196100,ZS01g0381100
Chr01,10615250,10641807,Chr01,10657276,10677056,23,ZS01g0216700,ZS01g0217100
Chr01,10615250,10641807,Chr01,10699819,10712324,5,ZS01g0216700,ZS01g0218000
Chr01,10615250,10641807,Chr01,10724496,10727988,5,ZS01g0216700,ZS01g0218400
Chr01,10657276,10677056,Chr01,10699819,10712324,5,ZS01g0217100,ZS01g0218000
Chr01,10657276,10677056,Chr01,10716834,10721079,5,ZS01g0217100,ZS01g0218300
Chr01,10657276,10677056,Chr01,10724496,10727988,10,ZS01g0217100,ZS01g0218400
Chr01,10657276,10677056,Chr01,14140375,14168535,4,ZS01g0217100,ZS01g0292100
Chr01,10724496,10727988,Chr01,17534727,17599315,5,ZS01g0218400,ZS01g0381100
Chr01,11040100,11048442,Chr01,11053920,11066628,5,ZS01g0233500,ZS01g0233600
Chr01,11143134,11157742,Chr01,11182587,11186176,7,ZS01g0234600,ZS01g0235000
Chr01,11143134,11157742,Chr01,15772983,15805443,5,ZS01g0234600,ZS01g0328300
Chr01,11143134,11157742,Chr01,18984229,19040153,7,ZS01g0234600,ZS01g0402500
Chr01,11182587,11186176,Chr01,11218442,11243324,6,ZS01g0235000,ZS01g0235900
Chr01,11218442,11243324,Chr01,11243620,11255112,12,ZS01g0235900,ZS01g0236500
Chr01,11218442,11243324,Chr01,11369908,11408403,6,ZS01g0235900,ZS01g0238900
Chr01,11317796,11335247,Chr01,15808615,15826688,4,ZS01g0237700,ZS01g0328900
Chr01,11743952,11752714,Chr01,12044367,12077039,4,ZS01g0243700,ZS01g0248300
Chr01,12044367,12077039,Chr01,12123656,12131214,33,ZS01g0248300,ZS01g0249100
Chr01,12044367,12077039,Chr01,12131638,12132484,6,ZS01g0248300,ZS01g0249100
Chr01,12044367,12077039,Chr01,12164948,12171773,4,ZS01g0248300,ZS01g0249700
Chr01,12044367,12077039,Chr01,12313952,12326080,6,ZS01g0248300,ZS01g0252000
Chr01,12272241,12291373,Chr01,12313952,12326080,6,ZS01g0251400,ZS01g0252000
Chr01,12313952,12326080,Chr01,12331180,12341176,6,ZS01g0252000,ZS01g0252400
Chr01,12414265,12417231,Chr01,12429897,12434131,4,ZS01g0253200,ZS01g0253700
Chr01,12414265,12417231,Chr01,12527896,12547004,4,ZS01g0253200,ZS01g0255600
Chr01,12527896,12547004,Chr01,12608360,12612640,4,ZS01g0255600,ZS01g0257000
Chr01,12527896,12547004,Chr01,12686549,12704102,10,ZS01g0255600,ZS01g0258400
Chr01,12624358,12636166,Chr01,12686549,12704102,5,ZS01g0257200,ZS01g0258400
Chr01,12686549,12704102,Chr01,12710230,12715128,4,ZS01g0258400,ZS01g0258900
Chr01,12860347,12866602,Chr01,12873015,12884185,10,ZS01g0261100,ZS01g0261400
Chr01,12860347,12866602,Chr01,12900492,12905480,5,ZS01g0261100,ZS01g0261600
Chr01,12873015,12884185,Chr01,12915092,12919178,4,ZS01g0261400,ZS01g0261900
Chr01,12873015,12884185,Chr01,12920297,12957170,6,ZS01g0261400,ZS01g0262300
Chr01,12873015,12884185,Chr01,16374813,16402626,5,ZS01g0261400,ZS01g0349100
Chr01,12920297,12957170,Chr01,17268898,17272436,5,ZS01g0262300,ZS01g0376700
Chr01,13069684,13110155,Chr01,13118791,13123474,5,ZS01g0275800,ZS01g0276600
Chr01,13979043,13990932,Chr01,14020234,14025316,4,ZS01g0289200,ZS01g0289500
Chr01,14020234,14025316,Chr01,14077065,14132063,6,ZS01g0289500,ZS01g0291000
Chr01,14077065,14132063,Chr01,14140375,14168535,4,ZS01g0291000,ZS01g0292100
Chr01,14403415,14418467,Chr01,14429439,14435688,6,ZS01g0295700,ZS01g0296300
Chr01,14495304,14525496,Chr01,14532262,14540044,6,ZS01g0298000,ZS01g0298400
Chr01,14801265,14815138,Chr01,15173788,15190240,4,ZS01g0312800,ZS01g0318900
Chr01,14993823,14997324,Chr01,15089681,15105986,4,ZS01g0315700,ZS01g0317500
Chr01,15089681,15105986,Chr01,15173788,15190240,6,ZS01g0317500,ZS01g0318900
Chr01,15173788,15190240,Chr01,15199394,15206256,9,ZS01g0318900,ZS01g0319300
Chr01,15173788,15190240,Chr01,15570558,15665151,13,ZS01g0318900,ZS01g0325600
Chr01,15199394,15206256,Chr01,15225178,15226978,4,ZS01g0319300,ZS01g0319900
Chr01,15199394,15206256,Chr01,15227233,15238549,4,ZS01g0319300,ZS01g0319900
Chr01,15371159,15380672,Chr01,15570558,15665151,11,ZS01g0322000,ZS01g0325600
Chr01,15371159,15380672,Chr01,15730116,15743596,7,ZS01g0322000,ZS01g0327300
Chr01,15371159,15380672,Chr01,15808615,15826688,6,ZS01g0322000,ZS01g0328900
Chr01,15485702,15507752,Chr01,15548689,15563957,5,ZS01g0323000,ZS01g0324400
Chr01,15485702,15507752,Chr01,15570558,15665151,10,ZS01g0323000,ZS01g0325600
Chr01,15485702,15507752,Chr01,22329494,22358597,5,ZS01g0323000,ZS01g0482300
Chr01,15570558,15665151,Chr01,15665774,15676548,63,ZS01g0325600,ZS01g0326700
Chr01,15570558,15665151,Chr01,15720163,15726802,49,ZS01g0325600,ZS01g0327100
Chr01,15570558,15665151,Chr01,15730116,15743596,75,ZS01g0325600,ZS01g0327300
Chr01,15570558,15665151,Chr01,15772983,15805443,45,ZS01g0325600,ZS01g0328300
Chr01,15570558,15665151,Chr01,15808615,15826688,38,ZS01g0325600,ZS01g0328900
Chr01,15570558,15665151,Chr01,15946120,15979201,22,ZS01g0325600,ZS01g0331100
Chr01,15570558,15665151,Chr01,15993624,16066329,47,ZS01g0325600,ZS01g0331800
Chr01,15570558,15665151,Chr01,32811463,32814880,7,ZS01g0325600,ZS01g0677600
Chr01,15665774,15676548,Chr01,15720163,15726802,22,ZS01g0326700,ZS01g0327100
